Keyword_Pencarian,AssignmentID
3175,d9f6cb23-1400-4127-969a-54a655493f35
2573381,003ec190-b45d-4d54-ab89-25aa111ba96f
ROLLS STONE INDONESIA,003ec190-b45d-4d54-ab89-25aa111ba96f
JL JAWA NO.14 A-06 CAKUNG,003ec190-b45d-4d54-ab89-25aa111ba96f
2557815,27b4f6af-2b96-44b3-b63b-3041513ca4b0
BUMI TUNGGAL PELITA,27b4f6af-2b96-44b3-b63b-3041513ca4b0
ELANG LAUT BOULEVARD JL. PANTAI INDAH SELATAN 11BLOK. A NO. 9,27b4f6af-2b96-44b3-b63b-3041513ca4b0
2552675,5d1f9c0e-9d79-4403-8878-effb274b6652
BISHAKHA CAHAYA ABADI,5d1f9c0e-9d79-4403-8878-effb274b6652
"PANTAI INDAH UTARA 2 RUKO CENTRO METRO BROADWAY BLOK A NOMOR. 33, PANTAI INDAH KAPUK",5d1f9c0e-9d79-4403-8878-effb274b6652
2551373,8e92f5dd-7f9c-4669-8b64-4fa52c48524a
VISION LAND SEMARANG,8e92f5dd-7f9c-4669-8b64-4fa52c48524a
JL TERNATE,8e92f5dd-7f9c-4669-8b64-4fa52c48524a
2550968,486e652e-949d-4edc-93d0-b55ca66a592b
ASELI GARMEN INDONESIA,486e652e-949d-4edc-93d0-b55ca66a592b
RUKO CAMAR INDAH DF JL. PANTAI INDAH BARAT BLOK DF KAV 11-12,486e652e-949d-4edc-93d0-b55ca66a592b
2549504,59fcf1bf-592a-46a3-ba88-d75b8305bde4
WOW BANGKIT INDONESIA,59fcf1bf-592a-46a3-ba88-d75b8305bde4
JL. RAYA MUARA KARANG NO. 289,59fcf1bf-592a-46a3-ba88-d75b8305bde4
2523338,7bacd00a-8d9e-4727-99c2-1823c1da11e1
PANCO,7bacd00a-8d9e-4727-99c2-1823c1da11e1
JL JEMBATAN III BLOK E NO 4,7bacd00a-8d9e-4727-99c2-1823c1da11e1
2521169,94e2d773-03ed-4b1a-9f2a-ef04e1e352ce
INDONESIA CHINA QUANTUM TEKNOLOGI GRUP,94e2d773-03ed-4b1a-9f2a-ef04e1e352ce
"JALAN CAMAR ELOK 1, BLOK GA NO. 16, PANTAI INDAH KAPUK",94e2d773-03ed-4b1a-9f2a-ef04e1e352ce
2519732,6a4264e8-8636-45a1-9800-e72565ca7829
SATUKAN HATI BERSAMA KITA SUKSES,6a4264e8-8636-45a1-9800-e72565ca7829
GOLD COAST OFFICE TOWER JALAN PANTAI INDAH KAPUK  BOULEVARD,6a4264e8-8636-45a1-9800-e72565ca7829
2514226,50bc58f3-113b-4198-8ad8-faebc3f77cf5
BERKAH PRIMA PERKASA TBK,50bc58f3-113b-4198-8ad8-faebc3f77cf5
